frame_index,measured_elapsed_ms,dt_ms,event_ms,update_ms,render_ms,debug_gui_ms,render_capture_ms,display_ms,frame_ms,existing_chunks,loaded_chunks,save_dirty_chunks,save_transactions,save_total_ms,save_max_ms,sections,mesh_dirty_sections,cpu_ready_sections,gpu_buffered_sections,queued_chunk_updates,random_tick_sections,random_tick_blocks,random_tick_sections_processed,random_ticks_dispatched,mesh_rebuilds,mesh_build_total_ms,mesh_build_last_ms,mesh_build_max_ms,solid_faces,transparent_faces,water_faces,flora_faces,solid_vertices,transparent_vertices,water_vertices,flora_vertices,terrain_vertex_stride_bytes,terrain_index_stride_bytes,resident_terrain_vertices,resident_terrain_indices,resident_terrain_vertex_bytes,resident_terrain_index_bytes,resident_terrain_buffer_bytes,actor_count,natural_mob_count,natural_mob_world_cap,natural_mob_local_cap,natural_mob_spawn_attempts,natural_mobs_spawned,natural_mobs_despawned,player_health,player_max_health,terrain_seed,terrain_generation_version,difficulty_profile_version,difficulty_id,post_victory_event_version,post_victory_completed_events,post_victory_active_event,post_victory_event_wave,world_time,day_cycle,daylight,fog_density,simulation_ticks
14,391.789,4,0,1.52267,2.25612,0,0,0,3.77879,207,206,0,1,2.09696,2.09696,1055,333,23,611,0,0,0,0,0,1617,1538.46,1.022,7.21063,212680,16,41301,468,591755,64,165204,1872,32,4,352717,704418,11286944,2817672,14104616,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,1
15,404.904,13,0,10.3634,2.69746,0,0,0,13.0609,208,207,0,1,2.09696,2.09696,1060,333,20,619,0,0,0,0,0,1622,1542.89,1.00571,7.21063,213527,16,41327,468,594130,64,165308,1872,32,4,358067,714762,11458144,2859048,14317192,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
16,409.822,5,0,2.46163,2.39487,0,0,0,4.8565,208,208,0,1,2.09696,2.09696,1065,338,12,627,0,0,0,0,0,1622,1542.89,1.00571,7.21063,213527,16,41327,468,594130,64,165308,1872,32,4,361493,721992,11567776,2887968,14455744,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
17,422.212,12,0,9.56738,2.77212,0,0,0,12.3395,209,209,0,1,2.09696,2.09696,1070,338,9,635,0,0,0,0,0,1627,1547.41,0.987875,7.21063,214790,16,41575,468,597578,64,166300,1872,32,4,367463,733572,11758816,2934288,14693104,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
18,426.02,4,0,1.4765,2.27192,0,0,0,3.74842,209,209,0,1,2.09696,2.09696,1070,334,4,643,0,0,0,0,0,1630,1550.07,1.09092,7.21063,215057,16,41831,468,598302,64,167324,1872,32,4,372708,743706,11926656,2974824,14901480,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
19,437.963,12,0,9.16629,2.73663,0,0,0,11.9029,201,201,0,1,2.09696,2.09696,1030,293,0,648,0,0,0,0,0,1632,1552.05,0.931167,7.21063,215299,16,41831,468,598963,64,167324,1872,32,4,376340,750978,12042880,3003912,15046792,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
20,450.142,11,0,8.94146,3.17579,0,0,0,12.1173,193,193,0,1,2.09696,2.09696,990,253,0,648,0,0,0,0,0,1632,1552.05,0.931167,7.21063,215299,16,41831,468,598963,64,167324,1872,32,4,376340,750978,12042880,3003912,15046792,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,1
21,457.561,7,0,4.46875,2.88271,0,0,0,7.35146,194,194,0,1,2.09696,2.09696,995,258,0,648,0,0,0,0,0,1632,1552.05,0.931167,7.21063,215299,16,41831,468,598963,64,167324,1872,32,4,376340,750978,12042880,3003912,15046792,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,0
22,464.854,8,0,4.38154,2.84675,0,0,0,7.22829,196,195,0,1,2.09696,2.09696,1000,263,0,648,0,0,0,0,0,1632,1552.05,0.931167,7.21063,215299,16,41831,468,598963,64,167324,1872,32,4,376340,750978,12042880,3003912,15046792,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,0
23,471.783,7,0,4.06125,2.8045,0,0,0,6.86575,196,196,0,1,2.09696,2.09696,1005,268,0,648,0,0,0,0,0,1632,1552.05,0.931167,7.21063,215299,16,41831,468,598963,64,167324,1872,32,4,376340,750978,12042880,3003912,15046792,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,0
24,478.575,6,0,4.01246,2.71663,0,0,0,6.72908,197,197,0,1,2.09696,2.09696,1010,273,0,648,0,0,0,0,0,1632,1552.05,0.931167,7.21063,215299,16,41831,468,598963,64,167324,1872,32,4,376340,750978,12042880,3003912,15046792,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,0
25,487.083,10,0,4.05908,4.33442,0,0,0,8.3935,198,198,0,1,2.09696,2.09696,1015,278,0,648,0,0,0,0,0,1632,1552.05,0.931167,7.21063,215299,16,41831,468,598963,64,167324,1872,32,4,376340,750978,12042880,3003912,15046792,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,0
26,494.1,7,0,4.03583,2.91771,0,0,0,6.95354,199,199,0,1,2.09696,2.09696,1020,283,0,648,0,0,0,0,0,1632,1552.05,0.931167,7.21063,215299,16,41831,468,598963,64,167324,1872,32,4,376340,750978,12042880,3003912,15046792,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6109,0.254542,1,0.0015,1
27,503.729,9,0,4.015,5.55013,0,0,0,9.56513,200,200,0,1,2.09696,2.09696,1025,288,0,648,0,0,0,0,0,1632,1552.05,0.931167,7.21063,215299,16,41831,468,598963,64,167324,1872,32,4,376340,750978,12042880,3003912,15046792,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6109,0.254542,1,0.0015,0
28,508.919,6,0,2.61042,2.50246,0,0,0,5.11287,201,201,0,1,2.09696,2.09696,1030,293,0,648,0,0,0,0,0,1632,1552.05,0.931167,7.21063,215299,16,41831,468,598963,64,167324,1872,32,4,376340,750978,12042880,3003912,15046792,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6109,0.254542,1,0.0015,0
29,520.838,12,0,1.09154,10.7791,0,0,0,11.8707,202,201,0,1,2.09696,2.09696,1030,293,0,648,0,0,0,0,0,1632,1552.05,0.931167,7.21063,215299,16,41831,468,598963,64,167324,1872,32,4,376340,750978,12042880,3003912,15046792,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6109,0.254542,1,0.0015,0
30,524.95,4,0,1.40033,2.64146,0,0,0,4.04179,204,203,0,1,2.09696,2.09696,1040,303,0,648,0,0,0,0,0,1632,1552.05,0.931167,7.21063,215299,16,41831,468,598963,64,167324,1872,32,4,376340,750978,12042880,3003912,15046792,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6109,0.254542,1,0.0015,0
31,537.277,12,0,4.01638,8.26112,0,0,0,12.2775,204,204,0,1,2.09696,2.09696,1045,308,0,648,0,0,0,0,0,1632,1552.05,0.931167,7.21063,215299,16,41831,468,598963,64,167324,1872,32,4,376340,750978,12042880,3003912,15046792,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6109,0.254542,1,0.0015,0
