frame_index,measured_elapsed_ms,dt_ms,event_ms,update_ms,render_ms,debug_gui_ms,render_capture_ms,display_ms,frame_ms,existing_chunks,loaded_chunks,save_dirty_chunks,save_transactions,save_total_ms,save_max_ms,sections,mesh_dirty_sections,cpu_ready_sections,gpu_buffered_sections,queued_chunk_updates,random_tick_sections,random_tick_blocks,random_tick_sections_processed,random_ticks_dispatched,mesh_rebuilds,mesh_build_total_ms,mesh_build_last_ms,mesh_build_max_ms,solid_faces,transparent_faces,water_faces,flora_faces,solid_vertices,transparent_vertices,water_vertices,flora_vertices,terrain_vertex_stride_bytes,terrain_index_stride_bytes,resident_terrain_vertices,resident_terrain_indices,resident_terrain_vertex_bytes,resident_terrain_index_bytes,resident_terrain_buffer_bytes,actor_count,natural_mob_count,natural_mob_world_cap,natural_mob_local_cap,natural_mob_spawn_attempts,natural_mobs_spawned,natural_mobs_despawned,player_health,player_max_health,terrain_seed,terrain_generation_version,difficulty_profile_version,difficulty_id,post_victory_event_version,post_victory_completed_events,post_victory_active_event,post_victory_event_wave,world_time,day_cycle,daylight,fog_density,simulation_ticks
0,298.13,4,0,1.35633,297.078,0,0,0,298.435,177,176,0,1,2.01333,2.01333,906,289,1,526,0,0,0,0,0,1535,1471.04,1.00762,1.55417,201492,28,35057,546,560899,112,140228,2184,32,4,302295,608496,9673440,2433984,12107424,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6098,0.254083,1,0.0015,0
1,302.471,300,0,1.9655,2.22204,0,0,0,4.18754,202,202,0,1,2.01333,2.01333,1036,322,89,533,0,0,0,0,0,1631,1560.26,0.448375,1.55417,214197,28,40073,546,596117,112,160292,2184,32,4,306465,616932,9806880,2467728,12274608,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6103,0.254292,1,0.0015,5
2,306.322,4,0,1.56996,2.21075,0,0,0,3.78071,202,202,0,1,2.01333,2.01333,1036,319,84,541,0,0,0,0,0,1634,1563.58,1.06279,1.55417,214902,28,40073,546,598075,112,160292,2184,32,4,311475,626526,9967200,2506104,12473304,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6103,0.254292,1,0.0015,0
3,316.742,10,0,8.00946,2.30613,0,0,0,10.3156,203,203,0,1,2.01333,2.01333,1041,321,79,549,0,0,0,0,0,1637,1566.14,1.18346,1.55417,215052,28,40329,546,598475,112,161316,2184,32,4,316334,636228,10122688,2544912,12667600,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6103,0.254292,1,0.0015,0
4,320.381,4,0,1.57571,1.96817,0,0,0,3.54387,204,203,0,1,2.01333,2.01333,1041,319,74,557,0,0,0,0,0,1640,1569.36,0.997042,1.55417,215719,28,40329,546,600341,112,161316,2184,32,4,320511,643938,10256352,2575752,12832104,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6103,0.254292,1,0.0015,0
5,333.562,13,0,10.7645,2.36825,0,0,0,13.1328,204,204,0,1,2.01333,2.01333,1046,319,70,565,0,0,0,0,0,1644,1573.12,1.15396,1.55417,216607,28,40585,546,602741,112,162340,2184,32,4,325506,654048,10416192,2616192,13032384,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6103,0.254292,1,0.0015,0
6,340.733,7,0,4.3555,2.7195,0,0,0,7.075,205,205,0,1,2.01333,2.01333,1051,324,63,572,0,0,0,0,0,1645,1574.11,0.99775,1.55417,216615,28,40585,546,602761,112,162340,2184,32,4,328810,659892,10521920,2639568,13161488,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6103,0.254292,1,0.0015,0
7,352.991,13,0,9.72296,2.42862,0,0,0,12.1516,206,206,0,1,2.01333,2.01333,1056,324,60,580,0,0,0,0,0,1650,1578.78,0.963167,1.55417,217225,28,40841,546,604497,112,163364,2184,32,4,332648,666936,10644736,2667744,13312480,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6103,0.254292,1,0.0015,0
8,357.31,3,0,1.53904,2.68446,0,0,0,4.2235,206,206,0,1,2.01333,2.01333,1056,321,54,588,0,0,0,0,0,1652,1580.44,1.21433,1.55417,217478,28,41097,546,605199,112,164388,2184,32,4,336152,673842,10756864,2695368,13452232,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6104,0.254333,1,0.0015,1
9,367.069,10,0,7.00133,2.668,0,0,0,9.66933,207,207,0,1,2.01333,2.01333,1061,324,49,596,0,0,0,0,0,1655,1583.67,0.986417,1.55417,217930,28,41097,546,606443,112,164388,2184,32,4,341541,684066,10929312,2736264,13665576,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6104,0.254333,1,0.0015,0
