seed,version,survey_ms,generation_ms
0,4,346.547042,16.4165
1,4,372.331542,27.822333
42,4,337.080791,15.100001
424,4,338.013667,15.227708
20260807,4,339.265208,14.819209
20260809,4,342.400125,26.031625
8675309,4,310.565625,14.365
325322,4,367.61225,26.912707
