frame_index,measured_elapsed_ms,dt_ms,event_ms,update_ms,render_ms,debug_gui_ms,render_capture_ms,display_ms,frame_ms,existing_chunks,loaded_chunks,save_dirty_chunks,save_transactions,save_total_ms,save_max_ms,sections,mesh_dirty_sections,cpu_ready_sections,gpu_buffered_sections,queued_chunk_updates,random_tick_sections,random_tick_blocks,random_tick_sections_processed,random_ticks_dispatched,mesh_rebuilds,mesh_build_total_ms,mesh_build_last_ms,mesh_build_max_ms,solid_faces,transparent_faces,water_faces,flora_faces,solid_vertices,transparent_vertices,water_vertices,flora_vertices,terrain_vertex_stride_bytes,terrain_index_stride_bytes,resident_terrain_vertices,resident_terrain_indices,resident_terrain_vertex_bytes,resident_terrain_index_bytes,resident_terrain_buffer_bytes,actor_count,natural_mob_count,natural_mob_world_cap,natural_mob_local_cap,natural_mob_spawn_attempts,natural_mobs_spawned,natural_mobs_despawned,player_health,player_max_health,terrain_seed,terrain_generation_version,difficulty_profile_version,difficulty_id,post_victory_event_version,post_victory_completed_events,post_victory_active_event,post_victory_event_wave,world_time,day_cycle,daylight,fog_density,simulation_ticks
0,330.21,4,0,1.4475,330.642,0,0,0,332.09,173,172,0,1,1.9695,1.9695,884,307,0,501,0,0,0,0,0,1455,1488.95,1.01671,8.55038,192677,20,34683,432,536258,80,138732,1728,32,4,290388,583410,9292416,2333640,11626056,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6100,0.254167,1,0.0015,0
1,336.77,334,0,3.84746,2.51587,0,0,0,6.36333,199,199,0,1,1.9695,1.9695,1019,341,92,508,0,0,0,0,0,1555,1586.63,0.9425,8.55038,206087,20,39699,432,573434,80,158796,1728,32,4,295288,593460,9449216,2373840,11823056,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,5
2,341.567,5,0,2.34008,2.33346,0,0,0,4.67354,199,199,0,1,1.9695,1.9695,1019,338,87,516,0,0,0,0,0,1558,1589.84,1.59896,8.55038,206403,20,39955,432,574316,80,159820,1728,32,4,299550,601380,9585600,2405520,11991120,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
3,348.214,6,0,3.94246,2.64225,0,0,0,6.58471,200,199,0,1,1.9695,1.9695,1019,337,81,524,0,0,0,0,0,1560,1592.54,0.99325,8.55038,206904,20,39955,432,575700,80,159820,1728,32,4,304677,611658,9749664,2446632,12196296,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
4,354.155,6,0,3.08133,2.78254,0,0,0,5.86388,200,200,0,1,1.9695,1.9695,1024,341,73,532,0,0,0,0,0,1560,1592.54,0.99325,8.55038,206904,20,39955,432,575700,80,159820,1728,32,4,308560,618750,9873920,2475000,12348920,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
5,365.376,12,0,8.52337,2.6155,0,0,0,11.1389,201,200,0,1,1.9695,1.9695,1024,337,70,540,0,0,0,0,0,1565,1598.43,1.01092,8.55038,207800,20,40211,432,578120,80,160844,1728,32,4,314565,630360,10066080,2521440,12587520,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
6,371.01,5,0,2.78075,2.78183,0,0,0,5.56258,201,201,0,1,1.9695,1.9695,1029,341,62,547,0,0,0,0,0,1565,1598.43,1.01092,8.55038,207800,20,40211,432,578120,80,160844,1728,32,4,317358,635796,10155456,2543184,12698640,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
7,381.728,11,0,7.83992,2.80483,0,0,0,10.6448,202,201,0,1,1.9695,1.9695,1029,337,59,555,0,0,0,0,0,1570,1604.89,1.00942,8.55038,208410,20,40467,432,579856,80,161868,1728,32,4,320766,641874,10264512,2567496,12832008,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6105,0.254375,1,0.0015,0
8,388.56,7,0,3.98408,2.77275,0,0,0,6.75683,202,202,0,1,1.9695,1.9695,1034,341,51,563,0,0,0,0,0,1570,1604.89,1.00942,8.55038,208410,20,40467,432,579856,80,161868,1728,32,4,324977,650316,10399264,2601264,13000528,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,1
9,398.252,9,0,6.88183,2.74087,0,0,0,9.62271,203,202,0,1,1.9695,1.9695,1034,337,48,571,0,0,0,0,0,1575,1610.17,1.01817,8.55038,209115,20,40723,432,581802,80,162892,1728,32,4,330381,660486,10572192,2641944,13214136,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,0
10,403.556,6,0,2.65221,2.58246,0,0,0,5.23467,203,203,0,1,1.9695,1.9695,1039,341,40,578,0,0,0,0,0,1575,1610.17,1.01817,8.55038,209115,20,40723,432,581802,80,162892,1728,32,4,334751,668952,10712032,2675808,13387840,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,0
11,417.763,14,0,11.5094,2.58875,0,0,0,14.0982,204,204,0,1,1.9695,1.9695,1044,342,37,585,0,0,0,0,0,1580,1615.59,1.05246,8.55038,209919,20,40979,432,583993,80,163916,1728,32,4,338548,676554,10833536,2706216,13539752,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,0
12,422.612,5,0,1.62004,3.1655,0,0,0,4.78554,204,204,0,1,1.9695,1.9695,1044,340,30,592,0,0,0,0,0,1581,1616.9,1.31062,8.55038,210010,20,40979,432,584246,80,163916,1728,32,4,344646,688200,11028672,2752800,13781472,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,0
13,432.42,10,0,6.88242,2.85646,0,0,0,9.73888,205,204,0,1,1.9695,1.9695,1044,337,26,599,0,0,0,0,0,1585,1622.28,1.01842,8.55038,210110,20,40979,432,584511,80,163916,1728,32,4,347970,694722,11135040,2778888,13913928,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6106,0.254417,1,0.0015,0
14,448.585,16,0,13.185,2.90942,0,0,0,16.0945,206,205,0,1,1.9695,1.9695,1049,337,23,606,0,0,0,0,0,1590,1626.99,0.959125,8.55038,210957,20,41005,432,586886,80,164020,1728,32,4,352624,704160,11283968,2816640,14100608,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,1
15,453.401,5,0,2.07708,2.67067,0,0,0,4.74775,206,206,0,1,1.9695,1.9695,1054,341,15,614,0,0,0,0,0,1590,1626.99,0.959125,8.55038,210957,20,41005,432,586886,80,164020,1728,32,4,357359,713700,11435488,2854800,14290288,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
16,465.513,12,0,8.81283,3.2305,0,0,0,12.0433,207,206,0,1,1.9695,1.9695,1054,337,12,622,0,0,0,0,0,1595,1632.58,1.06092,8.55038,212220,20,41253,432,590334,80,165012,1728,32,4,362391,723174,11596512,2892696,14489208,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
