frame_index,measured_elapsed_ms,dt_ms,event_ms,update_ms,render_ms,debug_gui_ms,render_capture_ms,display_ms,frame_ms,existing_chunks,loaded_chunks,save_dirty_chunks,save_transactions,save_total_ms,save_max_ms,sections,mesh_dirty_sections,cpu_ready_sections,gpu_buffered_sections,queued_chunk_updates,random_tick_sections,random_tick_blocks,random_tick_sections_processed,random_ticks_dispatched,mesh_rebuilds,mesh_build_total_ms,mesh_build_last_ms,mesh_build_max_ms,solid_faces,transparent_faces,water_faces,flora_faces,solid_vertices,transparent_vertices,water_vertices,flora_vertices,terrain_vertex_stride_bytes,terrain_index_stride_bytes,resident_terrain_vertices,resident_terrain_indices,resident_terrain_vertex_bytes,resident_terrain_index_bytes,resident_terrain_buffer_bytes,actor_count,natural_mob_count,natural_mob_world_cap,natural_mob_local_cap,natural_mob_spawn_attempts,natural_mobs_spawned,natural_mobs_despawned,player_health,player_max_health,terrain_seed,terrain_generation_version,difficulty_profile_version,difficulty_id,post_victory_event_version,post_victory_completed_events,post_victory_active_event,post_victory_event_wave,world_time,day_cycle,daylight,fog_density,simulation_ticks
14,394.417,11,0,1.897,9.23529,0,0,0,11.1323,157,157,0,1,2.03342,2.03342,801,333,0,413,0,0,0,0,0,1155,1458.24,1.36996,7.92975,153651,16,32821,132,428089,64,131284,528,32,4,254807,504816,8153824,2019264,10173088,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,1
15,399.909,6,0,1.49863,3.91325,0,0,0,5.41188,158,158,0,1,2.03342,2.03342,806,337,0,413,0,0,0,0,0,1155,1458.24,1.36996,7.92975,153651,16,32821,132,428089,64,131284,528,32,4,254807,504816,8153824,2019264,10173088,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
16,414.96,15,0,12.307,2.66867,0,0,0,14.9757,159,159,0,1,2.03342,2.03342,811,338,3,415,0,0,0,0,0,1160,1465.02,0.941792,7.92975,154804,16,33077,132,431327,64,132308,528,32,4,256870,508590,8219840,2034360,10254200,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
17,419.371,4,0,1.60396,2.73546,0,0,0,4.33942,159,159,0,1,2.03342,2.03342,811,334,1,420,0,0,0,0,0,1163,1467.78,1.06088,7.92975,154861,16,33333,132,431486,64,133332,528,32,4,260252,515148,8328064,2060592,10388656,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
18,428.277,9,0,6.40421,2.42721,0,0,0,8.83142,160,159,0,1,2.03342,2.03342,811,333,0,422,0,0,0,0,0,1165,1470.58,1.36688,7.92975,154926,16,33333,132,431673,64,133332,528,32,4,260439,515538,8334048,2062152,10396200,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
19,437.07,9,0,6.03196,2.68775,0,0,0,8.71971,156,156,0,1,2.03342,2.03342,796,318,0,422,0,0,0,0,0,1165,1470.58,1.36688,7.92975,154926,16,33333,132,431673,64,133332,528,32,4,260439,515538,8334048,2062152,10396200,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
20,443.872,7,0,1.34475,5.38517,0,0,0,6.72992,156,156,0,1,2.03342,2.03342,796,318,0,422,0,0,0,0,0,1165,1470.58,1.36688,7.92975,154926,16,33333,132,431673,64,133332,528,32,4,260439,515538,8334048,2062152,10396200,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,1
21,447.876,4,0,1.32983,2.58758,0,0,0,3.91742,157,156,0,1,2.03342,2.03342,796,318,0,422,0,0,0,0,0,1165,1470.58,1.36688,7.92975,154926,16,33333,132,431673,64,133332,528,32,4,260439,515538,8334048,2062152,10396200,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,0
22,460.684,12,0,1.17754,11.5508,0,0,0,12.7283,157,156,0,1,2.03342,2.03342,796,318,0,422,0,0,0,0,0,1165,1470.58,1.36688,7.92975,154926,16,33333,132,431673,64,133332,528,32,4,260439,515538,8334048,2062152,10396200,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,0
23,466.096,6,0,2.54871,2.78904,0,0,0,5.33775,158,158,0,1,2.03342,2.03342,806,328,0,422,0,0,0,0,0,1165,1470.58,1.36688,7.92975,154926,16,33333,132,431673,64,133332,528,32,4,260439,515538,8334048,2062152,10396200,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,0
