frame_index,measured_elapsed_ms,dt_ms,event_ms,update_ms,render_ms,debug_gui_ms,render_capture_ms,display_ms,frame_ms,existing_chunks,loaded_chunks,save_dirty_chunks,save_transactions,save_total_ms,save_max_ms,sections,mesh_dirty_sections,cpu_ready_sections,gpu_buffered_sections,queued_chunk_updates,random_tick_sections,random_tick_blocks,random_tick_sections_processed,random_ticks_dispatched,mesh_rebuilds,mesh_build_total_ms,mesh_build_last_ms,mesh_build_max_ms,solid_faces,transparent_faces,water_faces,flora_faces,solid_vertices,transparent_vertices,water_vertices,flora_vertices,terrain_vertex_stride_bytes,terrain_index_stride_bytes,resident_terrain_vertices,resident_terrain_indices,resident_terrain_vertex_bytes,resident_terrain_index_bytes,resident_terrain_buffer_bytes,actor_count,natural_mob_count,natural_mob_world_cap,natural_mob_local_cap,natural_mob_spawn_attempts,natural_mobs_spawned,natural_mobs_despawned,player_health,player_max_health,terrain_seed,terrain_generation_version,difficulty_profile_version,difficulty_id,post_victory_event_version,post_victory_completed_events,post_victory_active_event,post_victory_event_wave,world_time,day_cycle,daylight,fog_density,simulation_ticks
14,430.47,17,0,14.3237,2.30408,0,0,0,16.6278,156,155,0,1,1.80238,1.80238,791,325,5,407,0,0,0,0,0,1113,1394.61,2.09146,23.2045,148934,16,33201,106,415219,64,132804,424,32,4,254935,503988,8157920,2015952,10173872,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
15,447.468,17,0,14.5407,2.39188,0,0,0,16.9325,156,156,0,1,1.80238,1.80238,796,326,4,412,0,0,0,0,0,1117,1400.51,2.50979,23.2045,149180,16,33457,106,415866,64,133828,424,32,4,257560,509082,8241920,2036328,10278248,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6107,0.254458,1,0.0015,0
16,460.998,13,0,10.9656,2.49737,0,0,0,13.463,157,157,0,1,1.80238,1.80238,801,330,0,417,0,0,0,0,0,1118,1401.45,0.93475,23.2045,149343,16,33457,106,416318,64,133828,424,32,4,259683,513072,8309856,2052288,10362144,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,1
17,464.471,3,0,1.18829,2.21192,0,0,0,3.40021,157,157,0,1,1.80238,1.80238,801,327,1,418,0,0,0,0,0,1120,1403.16,1.14529,23.2045,149427,16,33713,106,416544,64,134852,424,32,4,260707,514608,8342624,2058432,10401056,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,0
18,481.054,16,0,14.0142,2.50296,0,0,0,16.5171,158,158,0,1,1.80238,1.80238,806,327,3,421,0,0,0,0,0,1125,1408.31,1.23017,23.2045,150102,16,33969,106,418419,64,135876,424,32,4,261935,517302,8381920,2069208,10451128,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,0
19,496.276,16,0,12.5848,2.56583,0,0,0,15.1507,159,159,0,1,1.80238,1.80238,811,330,1,426,0,0,0,0,0,1128,1412.25,1.04879,23.2045,150521,16,33969,106,419588,64,135876,424,32,4,264699,522558,8470368,2090232,10560600,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6108,0.2545,1,0.0015,0
20,500.385,4,0,1.46179,2.58137,0,0,0,4.04317,159,159,0,1,1.80238,1.80238,811,327,1,428,0,0,0,0,0,1130,1414.58,1.65725,23.2045,150550,16,34225,106,419666,64,136900,424,32,4,266025,524748,8512800,2098992,10611792,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6109,0.254542,1,0.0015,1
21,514.085,13,0,11.1305,2.49371,0,0,0,13.6242,160,160,0,1,1.80238,1.80238,816,330,2,430,0,0,0,0,0,1133,1419.43,0.956709,23.2045,151075,16,34225,106,421122,64,136900,424,32,4,266119,524958,8515808,2099832,10615640,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6109,0.254542,1,0.0015,0
22,530.878,18,0,14.059,2.66646,0,0,0,16.7255,162,161,0,1,1.80238,1.80238,821,335,0,432,0,0,0,0,0,1133,1419.43,0.956709,23.2045,151075,16,34225,106,421122,64,136900,424,32,4,267559,528072,8561888,2112288,10674176,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6109,0.254542,1,0.0015,0
23,543.28,13,0,3.2105,9.11654,0,0,0,12.327,162,162,0,1,1.80238,1.80238,826,340,0,432,0,0,0,0,0,1133,1419.43,0.956709,23.2045,151075,16,34225,106,421122,64,136900,424,32,4,267559,528072,8561888,2112288,10674176,4,4,12,4,8,8,4,20,20,20260807,5,1,1,1,0,0,0,6109,0.254542,1,0.0015,0
